raw_value,source_file,source_column,n_rows,canonical_make,canonical_parent,map_method,review_note
Ineos Automotive Limited,model-year-2024-footprint-data.csv,CAFE_MFR_NM,4,Ineos,,self,
VinFast Trading and Production Joint Stock Company,model-year-2024-footprint-data.csv,CAFE_MFR_NM,4,VinFast,,self,
McLaren Automotive Limited,model-year-2024-footprint-data.csv,CAFE_MFR_NM,3,McLaren,,self,
Pagani S.p.A. ,model-year-2024-footprint-data.csv,CAFE_MFR_NM,3,Pagani,,self,
Bugatti Rimac LLC,model-year-2024-footprint-data.csv,CAFE_MFR_NM,1,Bugatti Rimac LLC,,review,see Bugatti Rimac
BMW,model-year-2024-footprint-data.csv,FOOTPRINT_DIVISION_NM,252,BMW,BMW,trends-parent,
Chevrolet,model-year-2024-footprint-data.csv,FOOTPRINT_DIVISION_NM,227,Chevrolet,GM,division-rollup,
Mercedes-Benz,model-year-2024-footprint-data.csv,FOOTPRINT_DIVISION_NM,221,Mercedes-Benz,Mercedes,division-rollup,
TOYOTA,model-year-2024-footprint-data.csv,FOOTPRINT_DIVISION_NM,109,Toyota,Toyota,division-rollup,
Ford,model-year-2024-footprint-data.csv,FOOTPRINT_DIVISION_NM,106,Ford,Ford,trends-parent,
GMC,model-year-2024-footprint-data.csv,FOOTPRINT_DIVISION_NM,106,GMC,GM,division-rollup,
Land Rover,model-year-2024-footprint-data.csv,FOOTPRINT_DIVISION_NM,92,Land Rover,,review,"Ford 2000-2008, Tata/JLR after"
Cadillac,model-year-2024-footprint-data.csv,FOOTPRINT_DIVISION_NM,91,Cadillac,GM,division-rollup,
Porsche,model-year-2024-footprint-data.csv,FOOTPRINT_DIVISION_NM,64,Porsche,VW,division-rollup,
HYUNDAI MOTOR COMPANY,model-year-2024-footprint-data.csv,FOOTPRINT_DIVISION_NM,57,Hyundai,Hyundai,division-rollup,
KIA,model-year-2024-footprint-data.csv,FOOTPRINT_DIVISION_NM,57,Kia,Kia,division-rollup,
Audi,model-year-2024-footprint-data.csv,FOOTPRINT_DIVISION_NM,54,Audi,VW,division-rollup,
NISSAN,model-year-2024-footprint-data.csv,FOOTPRINT_DIVISION_NM,49,Nissan,Nissan,division-rollup,
Mini,model-year-2024-footprint-data.csv,FOOTPRINT_DIVISION_NM,48,Mini,BMW,division-rollup,
Rivian,model-year-2024-footprint-data.csv,FOOTPRINT_DIVISION_NM,48,Rivian,,self,
LEXUS,model-year-2024-footprint-data.csv,FOOTPRINT_DIVISION_NM,46,Lexus,Toyota,division-rollup,
Honda,model-year-2024-footprint-data.csv,FOOTPRINT_DIVISION_NM,35,Honda,Honda,trends-parent,
"Volvo Cars of North America, LLC",model-year-2024-footprint-data.csv,FOOTPRINT_DIVISION_NM,34,Volvo,,review,Volvo division name in footprint file
MASERATI,model-year-2024-footprint-data.csv,FOOTPRINT_DIVISION_NM,32,Maserati,,review,see Maserati
Jaguar,model-year-2024-footprint-data.csv,FOOTPRINT_DIVISION_NM,27,Jaguar,,review,"Ford 1990-2008, Tata/JLR after"
Buick,model-year-2024-footprint-data.csv,FOOTPRINT_DIVISION_NM,25,Buick,GM,division-rollup,
Volkswagen,model-year-2024-footprint-data.csv,FOOTPRINT_DIVISION_NM,25,Volkswagen,VW,division-rollup,
Jeep,model-year-2024-footprint-data.csv,FOOTPRINT_DIVISION_NM,24,Jeep,Stellantis,division-rollup,
GENESIS,model-year-2024-footprint-data.csv,FOOTPRINT_DIVISION_NM,19,Genesis,Hyundai,division-rollup,
MAZDA,model-year-2024-footprint-data.csv,FOOTPRINT_DIVISION_NM,19,Mazda,Mazda,division-rollup,
Tesla Motors,model-year-2024-footprint-data.csv,FOOTPRINT_DIVISION_NM,19,Tesla,Tesla,division-rollup,
Acura,model-year-2024-footprint-data.csv,FOOTPRINT_DIVISION_NM,18,Acura,Honda,division-rollup,
RAM,model-year-2024-footprint-data.csv,FOOTPRINT_DIVISION_NM,18,Ram,Stellantis,division-rollup,
Rolls-Royce Motor Cars Limited,model-year-2024-footprint-data.csv,FOOTPRINT_DIVISION_NM,17,Rolls-Royce,BMW,division-rollup,
Subaru,model-year-2024-footprint-data.csv,FOOTPRINT_DIVISION_NM,15,Subaru,Subaru,division-rollup,
INFINITI,model-year-2024-footprint-data.csv,FOOTPRINT_DIVISION_NM,13,Infiniti,Nissan,division-rollup,
"Ferrari North America, Inc.",model-year-2024-footprint-data.csv,FOOTPRINT_DIVISION_NM,12,"Ferrari North America,",,self,
Dodge,model-year-2024-footprint-data.csv,FOOTPRINT_DIVISION_NM,11,Dodge,Stellantis,division-rollup,
Mitsubishi Motors Corporation,model-year-2024-footprint-data.csv,FOOTPRINT_DIVISION_NM,11,Mitsubishi,,self,
ALFA ROMEO,model-year-2024-footprint-data.csv,FOOTPRINT_DIVISION_NM,9,Alfa Romeo,Stellantis,division-rollup,
Lincoln,model-year-2024-footprint-data.csv,FOOTPRINT_DIVISION_NM,9,Lincoln,Ford,division-rollup,
Lucid USA Inc.,model-year-2024-footprint-data.csv,FOOTPRINT_DIVISION_NM,9,Lucid,,self,
Bentley,model-year-2024-footprint-data.csv,FOOTPRINT_DIVISION_NM,9,Bentley,VW,division-rollup,
Lamborghini,model-year-2024-footprint-data.csv,FOOTPRINT_DIVISION_NM,7,Lamborghini,VW,division-rollup,
Fisker,model-year-2024-footprint-data.csv,FOOTPRINT_DIVISION_NM,6,Fisker,,self,
Polestar Automotive USA Inc,model-year-2024-footprint-data.csv,FOOTPRINT_DIVISION_NM,5,Polestar,,self,
Aston Martin Lagonda Ltd,model-year-2024-footprint-data.csv,FOOTPRINT_DIVISION_NM,4,Aston Martin,,review,see Aston Martin
Chrysler,model-year-2024-footprint-data.csv,FOOTPRINT_DIVISION_NM,4,Chrysler,Stellantis,division-rollup,
INEOS Automotive Limited,model-year-2024-footprint-data.csv,FOOTPRINT_DIVISION_NM,4,Ineos,,self,
Hai Phong manufacturing plant ,model-year-2024-footprint-data.csv,FOOTPRINT_DIVISION_NM,4,VinFast,,self,
McLaren,model-year-2024-footprint-data.csv,FOOTPRINT_DIVISION_NM,3,McLaren,,self,
Bugatti Rimac,model-year-2024-footprint-data.csv,FOOTPRINT_DIVISION_NM,2,Bugatti Rimac,,review,Rimac-majority JV with Porsche 45% since 2021; not a clean VW rollup
FIAT,model-year-2024-footprint-data.csv,FOOTPRINT_DIVISION_NM,2,Fiat,Stellantis,division-rollup,
MITSUBISHI MOTORS,model-year-2024-footprint-data.csv,FOOTPRINT_DIVISION_NM,2,MITSUBISHI MOTORS,,self,
Certification,model-year-2024-footprint-data.csv,FOOTPRINT_DIVISION_NM,2,Certification,,review,junk division label in footprint file; resolve via CAFE_MFR_NM on those rows
Pagani Automobili S.p.A.,model-year-2024-footprint-data.csv,FOOTPRINT_DIVISION_NM,1,Pagani,,self,
Bugatti,model-year-2024-footprint-data.csv,FOOTPRINT_DIVISION_NM,1,Bugatti,VW,division-rollup,
Lotus Cars Ltd,model-year-2024-footprint-data.csv,FOOTPRINT_DIVISION_NM,1,Lotus Cars Ltd,,review,see Lotus
General Motors LLC,model-year-2024-footprint-data.csv,FOOTPRINT_MFR_NM,449,GM,GM,division-rollup,
BMW,model-year-2024-footprint-data.csv,FOOTPRINT_MFR_NM,304,BMW,BMW,trends-parent,
Mercedes Benz,model-year-2024-footprint-data.csv,FOOTPRINT_MFR_NM,221,Mercedes-Benz,Mercedes,division-rollup,
Toyota Motor Corporation,model-year-2024-footprint-data.csv,FOOTPRINT_MFR_NM,151,Toyota,Toyota,division-rollup,
Jaguar Land Rover Limited,model-year-2024-footprint-data.csv,FOOTPRINT_MFR_NM,119,Jaguar,,review,Tata-owned JLR; separate CAFE manufacturer
Ford Motor Company,model-year-2024-footprint-data.csv,FOOTPRINT_MFR_NM,115,Ford,Ford,division-rollup,
"Volkswagen Group of America, Inc.",model-year-2024-footprint-data.csv,FOOTPRINT_MFR_NM,96,Volkswagen,VW,division-rollup,
Hyundai Motor Company,model-year-2024-footprint-data.csv,FOOTPRINT_MFR_NM,76,Hyundai,Hyundai,division-rollup,
FCA US LLC,model-year-2024-footprint-data.csv,FOOTPRINT_MFR_NM,68,Stellantis,Stellantis,division-rollup,
"Nissan Motor Co., Ltd.",model-year-2024-footprint-data.csv,FOOTPRINT_MFR_NM,64,Nissan,Nissan,division-rollup,
Porsche AG,model-year-2024-footprint-data.csv,FOOTPRINT_MFR_NM,64,Porsche,VW,division-rollup,
Kia Corporation,model-year-2024-footprint-data.csv,FOOTPRINT_MFR_NM,57,Kia,Kia,division-rollup,
"American Honda Motor Co., Inc.",model-year-2024-footprint-data.csv,FOOTPRINT_MFR_NM,53,Honda,Honda,division-rollup,
Rivian Automotive LLC,model-year-2024-footprint-data.csv,FOOTPRINT_MFR_NM,48,Rivian,,self,
"Volvo Car USA,  LLC",model-year-2024-footprint-data.csv,FOOTPRINT_MFR_NM,39,Volvo,,review,Geely-era Volvo legal name (note double space)
"Maserati North America, Inc.",model-year-2024-footprint-data.csv,FOOTPRINT_MFR_NM,32,Maserati,,review,see Maserati
Mazda Motor Corporation,model-year-2024-footprint-data.csv,FOOTPRINT_MFR_NM,19,Mazda,Mazda,division-rollup,
"Tesla, Inc.",model-year-2024-footprint-data.csv,FOOTPRINT_MFR_NM,19,Tesla,Tesla,division-rollup,
Rolls-Royce Motor Cars Limited,model-year-2024-footprint-data.csv,FOOTPRINT_MFR_NM,17,Rolls-Royce,BMW,division-rollup,
Subaru Corporation,model-year-2024-footprint-data.csv,FOOTPRINT_MFR_NM,15,Subaru,Subaru,division-rollup,
Ferrari S.p.A.,model-year-2024-footprint-data.csv,FOOTPRINT_MFR_NM,12,Ferrari,,self,
Mitsubishi Motors Corporation,model-year-2024-footprint-data.csv,FOOTPRINT_MFR_NM,11,Mitsubishi,,self,
"Lucid USA, Inc.",model-year-2024-footprint-data.csv,FOOTPRINT_MFR_NM,9,Lucid,,self,
Fisker Group Inc.,model-year-2024-footprint-data.csv,FOOTPRINT_MFR_NM,6,Fisker Group,,self,
Aston Martin Lagonda,model-year-2024-footprint-data.csv,FOOTPRINT_MFR_NM,4,Aston Martin,,review,see Aston Martin
Ineos Automotive Limited,model-year-2024-footprint-data.csv,FOOTPRINT_MFR_NM,4,Ineos,,self,
VinFast Trading and Production Joint Stock Company,model-year-2024-footprint-data.csv,FOOTPRINT_MFR_NM,4,VinFast,,self,
McLaren Automotive Limited,model-year-2024-footprint-data.csv,FOOTPRINT_MFR_NM,3,McLaren,,self,
Pagani S.p.A. ,model-year-2024-footprint-data.csv,FOOTPRINT_MFR_NM,3,Pagani,,self,
Bugatti Rimac LLC,model-year-2024-footprint-data.csv,FOOTPRINT_MFR_NM,2,Bugatti Rimac LLC,,review,see Bugatti Rimac
Lotus Cars Ltd,model-year-2024-footprint-data.csv,FOOTPRINT_MFR_NM,1,Lotus Cars Ltd,,review,see Lotus
"Volkswagen Group of America, Inc.",model-year-2024-fuel-economy-and-technology-data.csv,CAFE Mfr Name,282,Volkswagen,VW,division-rollup,
General Motors LLC,model-year-2024-fuel-economy-and-technology-data.csv,CAFE Mfr Name,223,GM,GM,division-rollup,
BMW,model-year-2024-fuel-economy-and-technology-data.csv,CAFE Mfr Name,207,BMW,BMW,trends-parent,
Toyota Motor Corporation,model-year-2024-fuel-economy-and-technology-data.csv,CAFE Mfr Name,206,Toyota,Toyota,division-rollup,
Mercedes Benz,model-year-2024-fuel-economy-and-technology-data.csv,CAFE Mfr Name,144,Mercedes-Benz,Mercedes,division-rollup,
Ford Motor Company,model-year-2024-fuel-economy-and-technology-data.csv,CAFE Mfr Name,117,Ford,Ford,division-rollup,
FCA US LLC,model-year-2024-fuel-economy-and-technology-data.csv,CAFE Mfr Name,113,Stellantis,Stellantis,division-rollup,
Rivian Automotive LLC,model-year-2024-fuel-economy-and-technology-data.csv,CAFE Mfr Name,96,Rivian,,self,
Hyundai Motor Company,model-year-2024-fuel-economy-and-technology-data.csv,CAFE Mfr Name,92,Hyundai,Hyundai,division-rollup,
"Nissan Motor Co., Ltd.",model-year-2024-fuel-economy-and-technology-data.csv,CAFE Mfr Name,67,Nissan,Nissan,division-rollup,
Jaguar Land Rover Limited,model-year-2024-fuel-economy-and-technology-data.csv,CAFE Mfr Name,64,Jaguar,,review,Tata-owned JLR; separate CAFE manufacturer
Kia Corporation,model-year-2024-fuel-economy-and-technology-data.csv,CAFE Mfr Name,62,Kia,Kia,division-rollup,
"American Honda Motor Co., Inc.",model-year-2024-fuel-economy-and-technology-data.csv,CAFE Mfr Name,61,Honda,Honda,division-rollup,
"Volvo Car USA,  LLC",model-year-2024-fuel-economy-and-technology-data.csv,CAFE Mfr Name,49,Volvo,,review,Geely-era Volvo legal name (note double space)
"Tesla, Inc.",model-year-2024-fuel-economy-and-technology-data.csv,CAFE Mfr Name,38,Tesla,Tesla,division-rollup,
Mazda Motor Corporation,model-year-2024-fuel-economy-and-technology-data.csv,CAFE Mfr Name,28,Mazda,Mazda,division-rollup,
Subaru Corporation,model-year-2024-fuel-economy-and-technology-data.csv,CAFE Mfr Name,23,Subaru,Subaru,division-rollup,
"Maserati North America, Inc.",model-year-2024-fuel-economy-and-technology-data.csv,CAFE Mfr Name,22,Maserati,,review,see Maserati
Ferrari S.p.A.,model-year-2024-fuel-economy-and-technology-data.csv,CAFE Mfr Name,18,Ferrari,,self,
"Lucid USA, Inc.",model-year-2024-fuel-economy-and-technology-data.csv,CAFE Mfr Name,18,Lucid,,self,
Mitsubishi Motors Corporation,model-year-2024-fuel-economy-and-technology-data.csv,CAFE Mfr Name,13,Mitsubishi,,self,
Fisker Group Inc.,model-year-2024-fuel-economy-and-technology-data.csv,CAFE Mfr Name,12,Fisker Group,,self,
VinFast Trading and Production Joint Stock Company,model-year-2024-fuel-economy-and-technology-data.csv,CAFE Mfr Name,8,VinFast,,self,
Aston Martin Lagonda,model-year-2024-fuel-economy-and-technology-data.csv,CAFE Mfr Name,4,Aston Martin,,review,see Aston Martin
Ineos Automotive Limited,model-year-2024-fuel-economy-and-technology-data.csv,CAFE Mfr Name,4,Ineos,,self,
McLaren Automotive Limited,model-year-2024-fuel-economy-and-technology-data.csv,CAFE Mfr Name,4,McLaren,,self,
Pagani S.p.A. ,model-year-2024-fuel-economy-and-technology-data.csv,CAFE Mfr Name,3,Pagani,,self,
General Motors LLC,model-year-2024-fuel-economy-and-technology-data.csv,Carline Mfr Name,223,GM,GM,division-rollup,
Toyota Motor Corporation,model-year-2024-fuel-economy-and-technology-data.csv,Carline Mfr Name,203,Toyota,Toyota,division-rollup,
BMW,model-year-2024-fuel-economy-and-technology-data.csv,Carline Mfr Name,197,BMW,BMW,trends-parent,
"Volkswagen Group of America, Inc.",model-year-2024-fuel-economy-and-technology-data.csv,Carline Mfr Name,177,Volkswagen,VW,division-rollup,
Mercedes Benz,model-year-2024-fuel-economy-and-technology-data.csv,Carline Mfr Name,144,Mercedes-Benz,Mercedes,division-rollup,
Ford Motor Company,model-year-2024-fuel-economy-and-technology-data.csv,Carline Mfr Name,117,Ford,Ford,division-rollup,
Porsche AG,model-year-2024-fuel-economy-and-technology-data.csv,Carline Mfr Name,103,Porsche,VW,division-rollup,
Rivian Automotive LLC,model-year-2024-fuel-economy-and-technology-data.csv,Carline Mfr Name,96,Rivian,,self,
Hyundai Motor Company,model-year-2024-fuel-economy-and-technology-data.csv,Carline Mfr Name,92,Hyundai,Hyundai,division-rollup,
FCA US LLC,model-year-2024-fuel-economy-and-technology-data.csv,Carline Mfr Name,91,Stellantis,Stellantis,division-rollup,
"Nissan Motor Co., Ltd.",model-year-2024-fuel-economy-and-technology-data.csv,Carline Mfr Name,69,Nissan,Nissan,division-rollup,
Jaguar Land Rover Limited,model-year-2024-fuel-economy-and-technology-data.csv,Carline Mfr Name,64,Jaguar,,review,Tata-owned JLR; separate CAFE manufacturer
Kia Corporation,model-year-2024-fuel-economy-and-technology-data.csv,Carline Mfr Name,62,Kia,Kia,division-rollup,
"American Honda Motor Co., Inc.",model-year-2024-fuel-economy-and-technology-data.csv,Carline Mfr Name,61,Honda,Honda,division-rollup,
"Volvo Car USA,  LLC",model-year-2024-fuel-economy-and-technology-data.csv,Carline Mfr Name,46,Volvo,,review,Geely-era Volvo legal name (note double space)
"Maserati North America, Inc.",model-year-2024-fuel-economy-and-technology-data.csv,Carline Mfr Name,44,Maserati,,review,see Maserati
"Tesla, Inc.",model-year-2024-fuel-economy-and-technology-data.csv,Carline Mfr Name,38,Tesla,Tesla,division-rollup,
Mazda Motor Corporation,model-year-2024-fuel-economy-and-technology-data.csv,Carline Mfr Name,28,Mazda,Mazda,division-rollup,
Subaru Corporation,model-year-2024-fuel-economy-and-technology-data.csv,Carline Mfr Name,23,Subaru,Subaru,division-rollup,
Ferrari S.p.A.,model-year-2024-fuel-economy-and-technology-data.csv,Carline Mfr Name,18,Ferrari,,self,
"Lucid USA, Inc.",model-year-2024-fuel-economy-and-technology-data.csv,Carline Mfr Name,18,Lucid,,self,
Rolls-Royce Motor Cars Limited,model-year-2024-fuel-economy-and-technology-data.csv,Carline Mfr Name,13,Rolls-Royce,BMW,division-rollup,
Fisker Group Inc.,model-year-2024-fuel-economy-and-technology-data.csv,Carline Mfr Name,12,Fisker Group,,self,
Mitsubishi Motors Corporation,model-year-2024-fuel-economy-and-technology-data.csv,Carline Mfr Name,11,Mitsubishi,,self,
VinFast Trading and Production Joint Stock Company,model-year-2024-fuel-economy-and-technology-data.csv,Carline Mfr Name,8,VinFast,,self,
Aston Martin Lagonda,model-year-2024-fuel-economy-and-technology-data.csv,Carline Mfr Name,4,Aston Martin,,review,see Aston Martin
Ineos Automotive Limited,model-year-2024-fuel-economy-and-technology-data.csv,Carline Mfr Name,4,Ineos,,self,
McLaren Automotive Limited,model-year-2024-fuel-economy-and-technology-data.csv,Carline Mfr Name,4,McLaren,,self,
Pagani S.p.A. ,model-year-2024-fuel-economy-and-technology-data.csv,Carline Mfr Name,3,Pagani,,self,
Lotus Cars Ltd,model-year-2024-fuel-economy-and-technology-data.csv,Carline Mfr Name,3,Lotus Cars Ltd,,review,see Lotus
Bugatti Rimac LLC,model-year-2024-fuel-economy-and-technology-data.csv,Carline Mfr Name,2,Bugatti Rimac LLC,,review,see Bugatti Rimac
BMW,model-year-2024-fuel-economy-and-technology-data.csv,MFR_DIVISION_SHORT_NM,169,BMW,BMW,trends-parent,
MBX,model-year-2024-fuel-economy-and-technology-data.csv,MFR_DIVISION_SHORT_NM,144,Mercedes-Benz,Mercedes,division-rollup,
TOYOTA,model-year-2024-fuel-economy-and-technology-data.csv,MFR_DIVISION_SHORT_NM,139,Toyota,Toyota,division-rollup,
Audi,model-year-2024-fuel-economy-and-technology-data.csv,MFR_DIVISION_SHORT_NM,121,Audi,VW,division-rollup,
Ford,model-year-2024-fuel-economy-and-technology-data.csv,MFR_DIVISION_SHORT_NM,107,Ford,Ford,trends-parent,
Chevrolet,model-year-2024-fuel-economy-and-technology-data.csv,MFR_DIVISION_SHORT_NM,106,Chevrolet,GM,division-rollup,
Porsche,model-year-2024-fuel-economy-and-technology-data.csv,MFR_DIVISION_SHORT_NM,103,Porsche,VW,division-rollup,
Rivian,model-year-2024-fuel-economy-and-technology-data.csv,MFR_DIVISION_SHORT_NM,96,Rivian,,self,
GMC,model-year-2024-fuel-economy-and-technology-data.csv,MFR_DIVISION_SHORT_NM,69,GMC,GM,division-rollup,
HYUNDAI,model-year-2024-fuel-economy-and-technology-data.csv,MFR_DIVISION_SHORT_NM,66,Hyundai,Hyundai,division-rollup,
LEXUS,model-year-2024-fuel-economy-and-technology-data.csv,MFR_DIVISION_SHORT_NM,64,Lexus,Toyota,division-rollup,
KIA,model-year-2024-fuel-economy-and-technology-data.csv,MFR_DIVISION_SHORT_NM,62,Kia,Kia,division-rollup,
NISSAN,model-year-2024-fuel-economy-and-technology-data.csv,MFR_DIVISION_SHORT_NM,54,Nissan,Nissan,division-rollup,
Land Rover,model-year-2024-fuel-economy-and-technology-data.csv,MFR_DIVISION_SHORT_NM,45,Land Rover,,review,"Ford 2000-2008, Tata/JLR after"
MASERATI,model-year-2024-fuel-economy-and-technology-data.csv,MFR_DIVISION_SHORT_NM,44,Maserati,,review,see Maserati
Honda,model-year-2024-fuel-economy-and-technology-data.csv,MFR_DIVISION_SHORT_NM,43,Honda,Honda,trends-parent,
Cadillac,model-year-2024-fuel-economy-and-technology-data.csv,MFR_DIVISION_SHORT_NM,41,Cadillac,GM,division-rollup,
Tesla,model-year-2024-fuel-economy-and-technology-data.csv,MFR_DIVISION_SHORT_NM,38,Tesla,Tesla,division-rollup,
Volvo,model-year-2024-fuel-economy-and-technology-data.csv,MFR_DIVISION_SHORT_NM,36,Volvo,,review,"Ford 1999-2010, Geely after; separate CAFE manufacturer"
Volkswagen,model-year-2024-fuel-economy-and-technology-data.csv,MFR_DIVISION_SHORT_NM,35,Volkswagen,VW,division-rollup,
Jeep,model-year-2024-fuel-economy-and-technology-data.csv,MFR_DIVISION_SHORT_NM,32,Jeep,Stellantis,division-rollup,
MAZDA,model-year-2024-fuel-economy-and-technology-data.csv,MFR_DIVISION_SHORT_NM,28,Mazda,Mazda,division-rollup,
GENESIS,model-year-2024-fuel-economy-and-technology-data.csv,MFR_DIVISION_SHORT_NM,26,Genesis,Hyundai,division-rollup,
Mini,model-year-2024-fuel-economy-and-technology-data.csv,MFR_DIVISION_SHORT_NM,25,Mini,BMW,division-rollup,
Subaru,model-year-2024-fuel-economy-and-technology-data.csv,MFR_DIVISION_SHORT_NM,23,Subaru,Subaru,division-rollup,
Dodge,model-year-2024-fuel-economy-and-technology-data.csv,MFR_DIVISION_SHORT_NM,21,Dodge,Stellantis,division-rollup,
RAM,model-year-2024-fuel-economy-and-technology-data.csv,MFR_DIVISION_SHORT_NM,21,Ram,Stellantis,division-rollup,
Jaguar,model-year-2024-fuel-economy-and-technology-data.csv,MFR_DIVISION_SHORT_NM,19,Jaguar,,review,"Ford 1990-2008, Tata/JLR after"
Acura,model-year-2024-fuel-economy-and-technology-data.csv,MFR_DIVISION_SHORT_NM,18,Acura,Honda,division-rollup,
Ferrari,model-year-2024-fuel-economy-and-technology-data.csv,MFR_DIVISION_SHORT_NM,18,Ferrari,,self,
Lucid ,model-year-2024-fuel-economy-and-technology-data.csv,MFR_DIVISION_SHORT_NM,18,Lucid,,self,
Rolls-Royce,model-year-2024-fuel-economy-and-technology-data.csv,MFR_DIVISION_SHORT_NM,13,Rolls-Royce,BMW,division-rollup,
INFINITI,model-year-2024-fuel-economy-and-technology-data.csv,MFR_DIVISION_SHORT_NM,13,Infiniti,Nissan,division-rollup,
Fisker,model-year-2024-fuel-economy-and-technology-data.csv,MFR_DIVISION_SHORT_NM,12,Fisker,,self,
Bentley,model-year-2024-fuel-economy-and-technology-data.csv,MFR_DIVISION_SHORT_NM,12,Bentley,VW,division-rollup,
MTX,model-year-2024-fuel-economy-and-technology-data.csv,MFR_DIVISION_SHORT_NM,11,MTX,,self,
Lincoln,model-year-2024-fuel-economy-and-technology-data.csv,MFR_DIVISION_SHORT_NM,10,Lincoln,Ford,division-rollup,
Polestar,model-year-2024-fuel-economy-and-technology-data.csv,MFR_DIVISION_SHORT_NM,10,Polestar,,self,
ALFA ROMEO,model-year-2024-fuel-economy-and-technology-data.csv,MFR_DIVISION_SHORT_NM,8,Alfa Romeo,Stellantis,division-rollup,
Manufacturing Plant,model-year-2024-fuel-economy-and-technology-data.csv,MFR_DIVISION_SHORT_NM,8,Manufacturing Plant,,review,junk division short-name in MY2024 FE file; resolve via CAFE Mfr Name on those rows
Lamborghini,model-year-2024-fuel-economy-and-technology-data.csv,MFR_DIVISION_SHORT_NM,8,Lamborghini,VW,division-rollup,
